d,n1,Pb
112.0,236.0,6000.0
118.0,236.0,238.0
132.0,236.0,6045.0
140.0,236.0,240.0
112.0,6062.0,248.0
118.0,6062.0,6263.0
132.0,6062.0,250.0
140.0,6062.0,6300.0
112.0,255.0,6438.0
118.0,255.0,264.0
132.0,255.0,6670.0
140.0,255.0,265.0
112.0,6700.0,270.0
118.0,6700.0,6822.0
132.0,6700.0,276.0
140.0,6700.0,6973.0
112.0,280.0,7100.0
118.0,280.0,285.0
132.0,280.0,7203.0
140.0,280.0,295.0
112.0,7493.0,297.0
118.0,7493.0,7500.0
132.0,7493.0,300.0
140.0,7493.0,7582.0
112.0,303.0,7650.0
118.0,303.0,314.0
132.0,303.0,7976.0
140.0,303.0,315.0
112.0,7965.0,316.0
118.0,7965.0,8000.0
132.0,7965.0,320.0
140.0,7965.0,8093.0
112.0,330.0,8382.0
118.0,330.0,336.0
132.0,330.0,8500.0
140.0,330.0,345.0
112.0,8723.0,360.0
118.0,8723.0,9107.0
132.0,8723.0,394.0
140.0,8723.0,10000.0
112.0,420.0,10632.0
118.0,420.0,424.0
132.0,420.0,10733.0
140.0,420.0,14.0
112.0,40.0,22.0
118.0,40.0,39.0
140.0,40.0,4.0
112.0,180.0,190.0
118.0,180.0,200.0
132.0,180.0,212.0
140.0,180.0,236.0
112.0,265.0,300.0
118.0,265.0,335.0
132.0,265.0,375.0
140.0,265.0,400.0
112.0,425.0,450.0
118.0,425.0,100.0
132.0,425.0,0.78
140.0,425.0,0.87
112.0,0.95,1.04
118.0,0.95,1.24
132.0,0.95,1.47
140.0,0.95,1.74
112.0,2.01,2.32
118.0,2.01,2.51
132.0,2.01,2.7
140.0,2.01,2.89
112.0,150.0,1.1
118.0,150.0,1.22
132.0,150.0,1.34
140.0,150.0,1.48
112.0,1.76,2.09
118.0,1.76,2.49
132.0,1.76,2.88
140.0,1.76,3.32
112.0,3.6,3.87
118.0,3.6,4.14
132.0,3.6,200.0
140.0,3.6,1.4
112.0,1.55,1.7
118.0,1.55,1.89
132.0,1.55,2.25
140.0,1.55,2.68
112.0,3.19,3.7
118.0,3.19,4.28
132.0,3.19,4.63
140.0,3.19,4.99
112.0,5.34,400.0
118.0,5.34,2.45
132.0,5.34,2.73
140.0,5.34,3.02
112.0,3.36,4.03
118.0,3.36,4.83
132.0,3.36,5.78
140.0,3.36,6.72
112.0,7.77,8.42
118.0,7.77,9.06
132.0,7.77,9.69
140.0,7.77,600.0
112.0,3.35,3.76
118.0,3.35,4.17
132.0,3.35,4.65
140.0,3.35,5.6
112.0,6.74,8.08
118.0,6.74,9.39
132.0,6.74,10.85
140.0,6.74,11.74
112.0,12.61,13.47
118.0,12.61,700.0
132.0,12.61,3.76
140.0,12.61,4.23
112.0,4.69,5.24
118.0,4.69,6.33
132.0,4.69,7.62
140.0,4.69,9.13
112.0,10.6,12.24
118.0,10.6,13.23
132.0,10.6,14.19
140.0,10.6,15.14
112.0,750.0,3.96
118.0,750.0,4.45
132.0,750.0,4.94
140.0,750.0,5.53
112.0,6.68,8.04
118.0,6.68,9.63
132.0,6.68,11.18
140.0,6.68,12.89
112.0,13.93,14.93
118.0,13.93,15.91
132.0,13.93,900.0
140.0,13.93,4.51
112.0,5.09,5.66
118.0,5.09,6.33
132.0,5.09,7.66
140.0,5.09,9.23
112.0,11.05,12.8
118.0,11.05,14.7
132.0,11.05,15.84
140.0,11.05,16.94
112.0,17.99,1.0
118.0,17.99,4.85
132.0,17.99,5.48
140.0,17.99,6.1
112.0,6.83,8.27
118.0,6.83,9.96
132.0,6.83,11.91
140.0,6.83,13.77
112.0,15.77,16.96
118.0,15.77,18.09
132.0,15.77,19.16
140.0,15.77,1.4
112.0,5.98,6.78
118.0,5.98,7.57
132.0,5.98,8.5
140.0,5.98,10.3
112.0,12.35,14.63
118.0,12.35,16.7
132.0,12.35,18.78
140.0,12.35,19.91
112.0,20.9,21.75
118.0,20.9,1.5
132.0,20.9,6.2
140.0,20.9,7.05
112.0,7.87,8.84
118.0,7.87,10.7
132.0,7.87,12.8
140.0,7.87,15.12
112.0,17.18,19.18
118.0,17.18,20.23
132.0,17.18,21.11
140.0,17.18,1.7
112.0,6.58,7.49
118.0,6.58,8.37
132.0,6.58,9.4
140.0,6.58,11.36
112.0,13.53,15.83
118.0,13.53,17.77
132.0,13.53,19.49
140.0,13.53,1.8
112.0,6.74,7.67
118.0,6.74,8.58
132.0,6.74,9.63
140.0,6.74,11.62
112.0,13.79,16.05
118.0,13.79,17.88
132.0,13.79,2.0
140.0,13.79,6.96
112.0,7.94,8.88
118.0,7.94,9.97
132.0,7.94,11.98
140.0,7.94,14.11
112.0,16.19,2.5
118.0,16.19,7.05
132.0,16.19,8.06
140.0,16.19,9.01
112.0,10.07,11.89
118.0,10.07,13.53
